ProductCode,Sk__c,Name,Model__c,Name_EN__c,Sales_price__c,Sales_currency__c,Purchase_price__c,Purchase_currency__c,IsActive,Description,Import_ID__c,Salesforce_ID
X17.17,400,BATMFour BT4_I1200_O0,BATMFour,BT4_I1200_O0,7899,USD,,,True,BATMFour BT4_I1200_O0,PROD-001,01tJ9000001BhI7IAK
X17.21,400,BATMFour BT4_I1200_O0_NFC,BATMFour,BT4_I1200_O0_NFC,8299,USD,,,True,BATMFour BT4_I1200_O0_NFC,PROD-002,01tJ9000001BhIoIAK
X17.18,400,BATMFour BT4_I1200_O1000,BATMFour,BT4_I1200_O1000,9299,USD,,,True,BATMFour BT4_I1200_O1000,PROD-003,01tJ9000001BhItIAK
X17.22,400,BATMFour BT4_I1200_O1000_NFC,BATMFour,BT4_I1200_O1000_NFC,9899,USD,,,True,BATMFour BT4_I1200_O1000_NFC,PROD-004,01tJ9000001Bh9nIAC
X17.19,400,BATMFour BT4_I1200_O1500,BATMFour,BT4_I1200_O1500,9999,USD,,,True,BATMFour BT4_I1200_O1500,PROD-005,01tJ9000001BgOfIAK
X17.23,400,BATMFour BT4_I1200_O1500_NFC,BATMFour,BT4_I1200_O1500_NFC,10499,USD,,,True,BATMFour BT4_I1200_O1500_NFC,PROD-006,01tJ9000001BhDbIAK
X17.20,400,BATMFour BT4_I1200_O2000,BATMFour,BT4_I1200_O2000,10799,USD,,,True,BATMFour BT4_I1200_O2000,PROD-007,01tJ9000001BgoxIAC
X17.24,400,BATMFour BT4_I1200_O2000_NFC,BATMFour,BT4_I1200_O2000_NFC,12499,USD,,,True,BATMFour BT4_I1200_O2000_NFC,PROD-008,01tJ9000001Bh7BIAS
X17.26,400,BATMFour BT4_I1200R_O1000,BATMFour,BT4_I1200R_O1000,10999,USD,,,True,BATMFour BT4_I1200R_O1000,PROD-009,01tJ9000001Bh0AIAS
X17.30,400,BATMFour BT4_I1200R_O1000_NFC,BATMFour,BT4_I1200R_O1000_NFC,11399,USD,,,True,BATMFour BT4_I1200R_O1000_NFC,PROD-010,01tJ9000001BhIyIAK
X17.25,400,BATMFour BT4_I1200R_O120,BATMFour,BT4_I1200R_O120,9099,USD,,,True,BATMFour BT4_I1200R_O120,PROD-011,01tJ9000001Bgq0IAC
X17.29,400,BATMFour BT4_I1200R_O120_NFC,BATMFour,BT4_I1200R_O120_NFC,9499,USD,,,True,BATMFour BT4_I1200R_O120_NFC,PROD-012,01tJ9000001BhEoIAK
X17.27,400,BATMFour BT4_I1200R_O1500,BATMFour,BT4_I1200R_O1500,11599,USD,,,True,BATMFour BT4_I1200R_O1500,PROD-013,01tJ9000001BhJ3IAK
X17.31,400,BATMFour BT4_I1200R_O1500_NFC,BATMFour,BT4_I1200R_O1500_NFC,11999,USD,,,True,BATMFour BT4_I1200R_O1500_NFC,PROD-014,01tJ9000001Bh7VIAS
X17.28,400,BATMFour BT4_I1200R_O2000,BATMFour,BT4_I1200R_O2000,12199,USD,,,True,BATMFour BT4_I1200R_O2000,PROD-015,01tJ9000001BhJ8IAK
X17.32,400,BATMFour BT4_I1200R_O2000_NFC,BATMFour,BT4_I1200R_O2000_NFC,12599,USD,,,True,BATMFour BT4_I1200R_O2000_NFC,PROD-016,01tJ9000001BgoTIAS
X17.01,400,BATMFour BT4_I600_O0,BATMFour,BT4_I600_O0,7399,USD,,,True,BATMFour BT4_I600_O0,PROD-017,01tJ9000001BgaHIAS
X17.05,400,BATMFour BT4_I600_O0_NFC,BATMFour,BT4_I600_O0_NFC,7799,USD,,,True,BATMFour BT4_I600_O0_NFC,PROD-018,01tJ9000001Bh8uIAC
X17.02,400,BATMFour BT4_I600_O1000,BATMFour,BT4_I600_O1000,8999,USD,,,True,BATMFour BT4_I600_O1000,PROD-019,01tJ9000001BhDWIA0
X17.06,400,BATMFour BT4_I600_O1000_NFC,BATMFour,BT4_I600_O1000_NFC,9499,USD,,,True,BATMFour BT4_I600_O1000_NFC,PROD-020,01tJ9000001BgnGIAS
X17.03,400,BATMFour BT4_I600_O1500,BATMFour,BT4_I600_O1500,9799,USD,,,True,BATMFour BT4_I600_O1500,PROD-021,01tJ9000001Bh7nIAC
X17.07,400,BATMFour BT4_I600_O1500_NFC,BATMFour,BT4_I600_O1500_NFC,10299,USD,,,True,BATMFour BT4_I600_O1500_NFC,PROD-022,01tJ9000001BhJDIA0
X17.04,400,BATMFour BT4_I600_O2000,BATMFour,BT4_I600_O2000,10499,USD,,,True,BATMFour BT4_I600_O2000,PROD-023,01tJ9000001BgFvIAK
X17.08,400,BATMFour BT4_I600_O2000_NFC,BATMFour,BT4_I600_O2000_NFC,10999,USD,,,True,BATMFour BT4_I600_O2000_NFC,PROD-024,01tJ9000001BhAcIAK
X17.10,400,BATMFour BT4_I600R_O1000,BATMFour,BT4_I600R_O1000,10699,USD,,,True,BATMFour BT4_I600R_O1000,PROD-025,01tJ9000001BhCxIAK
X17.14,400,BATMFour BT4_I600R_O1000_NFC,BATMFour,BT4_I600R_O1000_NFC,11199,USD,,,True,BATMFour BT4_I600R_O1000_NFC,PROD-026,01tJ9000001BhJIIA0
X17.09,400,BATMFour BT4_I600R_O120,BATMFour,BT4_I600R_O120,8899,USD,,,True,BATMFour BT4_I600R_O120,PROD-027,01tJ9000001BhIuIAK
X17.13,400,BATMFour BT4_I600R_O120_NFC,BATMFour,BT4_I600R_O120_NFC,9299,USD,,,True,BATMFour BT4_I600R_O120_NFC,PROD-028,01tJ9000001BhJNIA0
X17.11,400,BATMFour BT4_I600R_O1500,BATMFour,BT4_I600R_O1500,11299,USD,,,True,BATMFour BT4_I600R_O1500,PROD-029,01tJ9000001Bh1hIAC
X17.15,400,BATMFour BT4_I600R_O1500_NFC,BATMFour,BT4_I600R_O1500_NFC,11799,USD,,,True,BATMFour BT4_I600R_O1500_NFC,PROD-030,01tJ9000001BhAwIAK
X17.12,400,BATMFour BT4_I600R_O2000,BATMFour,BT4_I600R_O2000,12099,USD,,,True,BATMFour BT4_I600R_O2000,PROD-031,01tJ9000001BgwcIAC
